ablation,status,evidence_or_reason
PS init MB,available/evaluated,available checkpoint; best PS epoch 0
PS init Uniform,not run,No independent trained checkpoint exists; running a smoke training would not answer convergence.
PS init random valid,not run,No independent trained checkpoint exists; running a smoke training would not answer convergence.
GS without drift penalty,not run,No independent trained checkpoint exists; running a smoke training would not answer convergence.
GS lambda_drift sweep,not run,No independent trained checkpoint exists; running a smoke training would not answer convergence.
joint simultaneous,available/evaluated,available checkpoint/config
joint alternating,not run,No independent trained checkpoint exists; running a smoke training would not answer convergence.
joint with geometry warm-up,available/evaluated,available checkpoint/config
joint without geometry warm-up,not run,No independent trained checkpoint exists; running a smoke training would not answer convergence.
joint PS-preserving initialization,available/evaluated,available epoch-zero candidate
joint combined initialization,available/evaluated,available epoch-zero candidate
PS/GS learning-rate ratios,not run,No independent trained checkpoint exists; running a smoke training would not answer convergence.
more epochs and patience,not run,No independent trained checkpoint exists; running a smoke training would not answer convergence.
larger AWGN budget,available/evaluated,"evaluation-only confirmation, not retraining"
larger fading budget,available/evaluated,"evaluation-only confirmation, not retraining"
ncut 120 and 150,available/evaluated,performed in validation/final evaluation
